Rank,Name,Final score,Country,Industry
640,Mace,68.59,United Kingdom,Construction
641,Princes,68.58,United Kingdom,"Food, Soft Beverages, Alcohol and Tobacco"
642,Advantest,68.57,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
643,Miele,68.42,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
644,Honeywell,68.42,United Kingdom,"Engineering, Manufacturing"
645,Logitech International,68.39,Switzerland,"IT, Internet, Software and Services"
646,Hoffmann Group,68.39,Germany,Packaged Goods
647,Leclerc,68.38,France,Retail
648,Marelli,68.38,Italy,Automotive (Producers and Suppliers)
649,Akzo Nobel,68.35,Netherlands,"Oil and Gas Operations, Mining, and Chemicals"
650,Grafton Group,68.3,Ireland,Wholesale
651,Heller Gruppe,68.22,Germany,"Engineering, Manufacturing"
652,Pierre & Vacances-Center Parcs,68.19,France,Travel and Leisure
653,Arabella Hospitality,68.16,Germany,Travel and Leisure
654,Groupe SNEF,68.15,France,Construction
655,Manpower,68.12,Germany,Business Services and Supplies
656,London Stock Exchange Group,68.01,United Kingdom,Banking and Financial Services
657,Groupe Iliad,68,France,"IT, Internet, Software and Services"
658,Kingfisher,67.96,United Kingdom,Retail
659,Comarch,67.95,Poland,"IT, Internet, Software and Services"
660,Adecco Group,67.92,Switzerland,Business Services and Supplies
661,Lenzing,67.91,Austria,"Manufacture and processing of materials, metals and paper"
662,Akamai Technologies,67.88,Switzerland,"IT, Internet, Software and Services"
663,Banca Ifis,67.86,Italy,Banking and Financial Services
664,Metabo,67.84,Germany,Packaged Goods
665,A1 Group,67.81,Austria,"Telecommunications Services, Cable Supplier"
666,MÃ¼ller â€“ Die lila Logistik,67.77,Germany,Transportation and Logistics
667,PASS,67.77,Germany,Automotive (Producers and Suppliers)
668,Eataly,67.75,Italy,Retail
669,Chiesi,67.75,Italy,Drugs and Biotechnology
670,CoopÃ©rative U,67.74,France,Retail
671,Alain Afflelou,67.71,France,Retail
672,Software AG,67.69,Germany,"IT, Internet, Software and Services"
673,Valeo,67.66,France,Automotive (Producers and Suppliers)
674,Yamamay,67.59,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
675,Polpharma,67.59,Poland,Drugs and Biotechnology
676,Ralph Lauren,67.54,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
677,Weleda,67.45,Switzerland,Packaged Goods
678,Materne,67.45,France,"Food, Soft Beverages, Alcohol and Tobacco"
679,Boccard,67.44,France,"Manufacture and processing of materials, metals and paper"
680,Colruyt Group,67.36,Belgium,Retail
681,Dillinger,67.35,Germany,"Manufacture and processing of materials, metals and paper"
682,Andros,67.34,France,"Food, Soft Beverages, Alcohol and Tobacco"
683,Bofrost,67.34,Germany,Retail
684,NXP Semiconductors,67.31,Netherlands,"Semiconductors, Electronics, Electrical Engineering, Hardware"
685,TXT e-solutions,67.31,Italy,"IT, Internet, Software and Services"
686,DuPont,67.3,Belgium,"Oil and Gas Operations, Mining, and Chemicals"
687,Plansee,67.29,Austria,"Manufacture and processing of materials, metals and paper"
688,Roquette,67.28,France,Drugs and Biotechnology
689,Schwan-Stabilo,67.25,Germany,Packaged Goods
690,Mercadona,67.22,Spain,Retail
691,Randstad,67.22,Netherlands,Business Services and Supplies
692,Groupe Carrefour,67.21,France,Retail
693,PSI,67.2,Germany,"IT, Internet, Software and Services"
694,Edenred,67.17,France,Banking and Financial Services
695,DMG Mori,67.15,Germany,"Engineering, Manufacturing"
696,Baccarat,67.15,France,Retail
697,Monzo Bank,67.14,United Kingdom,Banking and Financial Services
698,MAHLE,67.13,Germany,Automotive (Producers and Suppliers)
699,Zalando,67.09,Germany,"IT, Internet, Software and Services"
700,Sartorius,67.08,Germany,Drugs and Biotechnology
701,Hays,67.06,United Kingdom,Business Services and Supplies
702,Emmi Group,67.04,Switzerland,"Food, Soft Beverages, Alcohol and Tobacco"
703,Indra,67.03,Spain,"IT, Internet, Software and Services"
704,Bristol Myers Squibb,67.03,Switzerland,Drugs and Biotechnology
705,Fielmann,67.01,Germany,Retail
706,McLaren Automotive,66.99,United Kingdom,Automotive (Producers and Suppliers)
707,Morgan Stanley,66.98,Germany,Banking and Financial Services
708,DLR Deutsches Zentrum fÃ¼r Luft- und Raumfahrt,66.96,Germany,Consulting and Accounting
709,Metro,66.94,Germany,Retail
710,Fehrer Automotive,66.93,Germany,Automotive (Producers and Suppliers)
711,AG2R La Mondiale,66.92,France,Insurance
712,Knauf Group,66.91,Germany,"Manufacture and processing of materials, metals and paper"
713,Enercon,66.9,Germany,"Engineering, Manufacturing"
714,Fayat BÃ¢timent,66.9,France,Construction
715,Stora Enso,66.87,Finland,"Manufacture and processing of materials, metals and paper"
716,Dr. Oetker,66.84,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
717,Zott,66.81,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
718,Savencia Fromage & Dairy,66.8,France,"Food, Soft Beverages, Alcohol and Tobacco"
719,Exyte Group,66.79,Germany,"Engineering, Manufacturing"
720,MVV Energie,66.79,Germany,Utilities
721,Air Products,66.77,United Kingdom,"Oil and Gas Operations, Mining, and Chemicals"
722,Wolters Kluwer,66.75,Netherlands,"IT, Internet, Software and Services"
723,DHL,66.66,Germany,Transportation and Logistics
724,SAS,66.64,Germany,"IT, Internet, Software and Services"
725,Colt Technology Services,66.63,United Kingdom,"Telecommunications Services, Cable Supplier"
726,Travelodge,66.63,United Kingdom,Travel and Leisure
727,Santander,66.62,Spain,Banking and Financial Services
728,Abiogen Pharma,66.61,Italy,Drugs and Biotechnology
729,Alpla,66.58,Austria,"Manufacture and processing of materials, metals and paper"
730,Frequentis,66.56,Austria,"IT, Internet, Software and Services"
731,Globallogic,66.56,Ireland,"IT, Internet, Software and Services"
732,ThyssenKrupp,66.48,Germany,"Manufacture and Processing of Materials, Metals and Paper"
733,Stepstone,66.48,Germany,"IT, Internet, Software and Services"
734,Brillux,66.46,Germany,"Manufacture and processing of materials, metals and paper"
735,BASF,66.46,Germany,"Oil and Gas Operations, Mining, and Chemicals"
736,arvato,66.42,Germany,Business Services and Supplies
737,Bialetti,66.37,Italy,Packaged Goods
738,WeidmÃ¼ller,66.35,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
739,AxÃ©rÃ©al,66.35,France,"Food, Soft Beverages, Alcohol and Tobacco"
740,GPI,66.34,Italy,Healthcare Equipment and Services
741,La Redoute,66.33,France,Retail
742,Softcat,66.32,United Kingdom,"IT, Internet, Software and Services"
743,Mitchells & Butlers,66.31,United Kingdom,Restaurants
744,Somfy,66.3,France,Construction
745,Personio,66.29,Germany,"IT, Internet, Software and Services"
746,Brembo,66.27,Italy,Automotive (Producers and Suppliers)
747,Kem One,66.26,France,"Oil and Gas Operations, Mining, and Chemicals"
748,Alliance Healthcare,66.25,Germany,Wholesale
749,Storengy,66.24,France,Utilities
750,Hornbach,66.24,Germany,Retail
751,Vector Informatik,66.22,Germany,"IT, Internet, Software and Services"
752,Panariagroup Industrie Ceramiche,66.22,Italy,Wholesale
753,Cefla,66.21,Italy,"Engineering, Manufacturing"
754,ALSO,66.2,Switzerland,"IT, Internet, Software and Services"
755,BLG Logistics,66.17,Germany,Transportation and Logistics
756,Medicover,66.15,Germany,Healthcare (Social)
757,Warner Bros. Discovery,66.15,Netherlands,Media and Advertising
758,Julius Baer,66.15,Germany,Banking and Financial Services
759,Bauder,66.14,Germany,"Manufacture and processing of materials, metals and paper"
760,Action,66.11,Netherlands,Retail
761,AVL,66.1,Austria,Automotive (Producers and Suppliers)
762,UBS,66.1,Switzerland,Banking and Financial Services
763,S&T,66.1,Austria,"IT, Internet, Software and Services"
764,Motorola Solutions,66.08,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
765,Card Factory,66.05,United Kingdom,Retail
766,Taylor Wimpey,66.04,United Kingdom,Construction
767,Brunello Cucinelli,66.03,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
768,Robert Walters,66.02,United Kingdom,Consulting and Accounting
769,Engel & VÃ¶lkers,66,Germany,Business Services and Supplies
770,Ipsos,66,France,Business Services and Supplies
771,Dennree,65.96,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
772,Usp Zdrowie,65.95,Poland,Wholesale
773,Rohde & Schwarz,65.94,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
774,Micropole,65.92,France,"IT, Internet, Software and Services"
775,Maison 123,65.9,France,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
776,Manitou Group,65.9,France,"Engineering, Manufacturing"
777,Borealis,65.89,Austria,"Oil and Gas Operations, Mining, and Chemicals"
778,Desautel,65.85,France,Business Services and Supplies
779,Geis Global Logistics,65.83,Germany,Transportation and Logistics
780,BNY,65.78,Belgium,Banking and Financial Services
781,Schrack Technik,65.77,Austria,"Manufacture and processing of materials, metals and paper"
782,Boiron,65.76,France,Drugs and Biotechnology
783,Merz,65.76,Germany,Drugs and Biotechnology
784,Coroplast,65.74,Germany,Automotive (Producers and Suppliers)
785,GLS (General Logistics Systems),65.73,Netherlands,Transportation and Logistics
786,NH Hotel Group,65.72,Spain,Travel and Leisure
787,Louis Hotel Group,65.7,Cyprus,Travel and Leisure
788,Publicis,65.67,France,Media and Advertising
789,Revolut,65.66,Lithuania,Automotive (Producers and Suppliers)
790,SFS Group,65.62,Switzerland,"Engineering, Manufacturing"
791,BW Group,65.58,Norway,"Oil and Gas Operations, Mining, and Chemicals"
792,ArcelorMittal,65.56,Luxembourg,"Manufacture and Processing of Materials, Metals and Paper"
793,Grohe,65.55,Germany,Packaged Goods
794,Glennon Brothers,65.54,Ireland,"Manufacture and Processing of Materials, Metals and Paper"
795,Laboratoires LFB,65.54,France,Drugs and Biotechnology
796,EY,65.53,United Kingdom,Consulting and Accounting
797,Kirby Group Engineering,65.5,Ireland,"Engineering, Manufacturing"
798,Fujifilm,65.48,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
799,Deâ€™Longhi,65.48,Italy,Packaged Goods
800,ABS Acciaierie Bertoli Safau,65.46,Italy,"Manufacture and processing of materials, metals and paper"
801,ElectronicPartner,65.45,Germany,Retail
802,Sodexo,65.42,France,Business Services and Supplies
803,Wipro,65.42,Germany,Consulting and Accounting
804,Knaus Tabbert,65.4,Germany,Automotive (Producers and Suppliers)
805,Autodesk,65.39,Ireland,"IT, Internet, Software and Services"
806,Rohlig Suus Logistics,65.39,Poland,Transportation and Logistics
807,Lemken,65.36,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
808,Berndorf,65.35,Austria,"Manufacture and processing of materials, metals and paper"
809,Geberit,65.33,Switzerland,Packaged Goods
810,Hochland,65.3,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
811,Adval Tech,65.3,Switzerland,"Manufacture and processing of materials, metals and paper"
812,Bonprix,65.3,Germany,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
813,Astellas,65.29,United Kingdom,Drugs and Biotechnology
814,Alpiq,65.25,Switzerland,"Engineering, Manufacturing"
815,Alcar,65.19,Austria,"Manufacture and processing of materials, metals and paper"
816,HellermannTyton,65.16,Germany,"Manufacture and Processing of Materials, Metals and Paper"
817,FirstGroup,65.1,United Kingdom,Transportation and Logistics
818,Soitec,65.1,France,"Manufacture and processing of materials, metals and paper"
819,Primetals Technologies,65.06,United Kingdom,"Manufacture and processing of materials, metals and paper"
820,Gerresheimer,65.04,Germany,"Manufacture and processing of materials, metals and paper"
821,Reinhausen,65.01,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
822,Canpack Group,65.01,Poland,"Manufacture and processing of materials, metals and paper"
823,Neuroth,64.99,Austria,Healthcare Equipment and Services
824,Adisseo,64.97,France,Drugs and Biotechnology
825,Portalp,64.96,France,Construction
826,HÃ¶rmann,64.91,Germany,"Manufacture and processing of materials, metals and paper"
827,BKW,64.9,Switzerland,Utilities
828,tesa,64.89,Germany,"Manufacture and processing of materials, metals and paper"
829,Hamelin,64.83,France,Packaged Goods
830,Uniper,64.8,Germany,Utilities
831,Paul Hartmann,64.79,Germany,Healthcare Equipment and Services
832,Aegon,64.73,Netherlands,Insurance
833,MTU Aero Engines,64.72,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
834,Ocado Group,64.72,United Kingdom,Retail
835,Krohne,64.7,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
836,JCB,64.68,United Kingdom,"Engineering, Manufacturing"
837,Tecnomat,64.68,France,Retail
838,Richemont,64.66,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
839,Holter,64.64,Austria,Wholesale
840,Cineplexx,64.61,Austria,Travel and Leisure
841,bilstein group,64.6,Germany,Automotive (Producers and Suppliers)
842,Gewiss,64.58,Italy,Healthcare Equipment and Services
843,Constellium,64.57,France,"Manufacture and processing of materials, metals and paper"
844,Odeon Cinemas Group,64.56,United Kingdom,Travel and Leisure
845,Magna,64.52,Austria,Automotive (Producers and Suppliers)
846,Musgrave Group,64.51,Ireland,Retail
847,Falkensteiner Hotels & Residences,64.46,Austria,Travel and Leisure
848,Rewe Group,64.42,Germany,Retail
849,Agrial,64.42,France,"Food, Soft Beverages, Alcohol and Tobacco"
850,Zeeman,64.38,Netherlands,Retail
851,Cebi,64.37,Luxembourg,"Engineering, Manufacturing"
852,WSP,64.33,United Kingdom,Consulting and Accounting
853,Banco Sabadell,64.33,Spain,Banking and Financial Services
854,Ball Corporation,64.31,United Kingdom,"Manufacture and processing of materials, metals and paper"
855,Kesko,64.31,Finland,Retail
856,Axel Springer,64.3,Germany,Media and Advertising
857,Uzin Utz,64.28,Germany,"Manufacture and processing of materials, metals and paper"
858,Brenntag,64.26,Germany,Wholesale
859,Lesaffre,64.23,France,"Food, Soft Beverages, Alcohol and Tobacco"
860,British American Tobacco,64.23,United Kingdom,"Food, Soft Beverages, Alcohol and Tobacco"
861,Zegna,64.23,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
862,C&A,64.21,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
863,Agru,64.2,Austria,"Manufacture and processing of materials, metals and paper"
864,R. Stahl,64.18,Germany,"Manufacture and processing of materials, metals and paper"
865,Business Integration Partners,64.18,Italy,Consulting and Accounting
866,Picard SurgelÃ©s,64.11,France,Retail
867,Esaote,64.09,Italy,Healthcare Equipment and Services
868,SociÃ©tÃ© GÃ©nÃ©rale,64.07,France,Banking and Financial Services
869,VDM Metals,63.98,Germany,"Manufacture and Processing of Materials, Metals and Paper"
870,Neuman Aluminium,63.95,Austria,"Manufacture and processing of materials, metals and paper"
871,Vossloh,63.94,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
872,Marazzi Group,63.92,Italy,"Manufacture and processing of materials, metals and paper"
873,Barlinek,63.8,Poland,"Manufacture and Processing of Materials, Metals and Paper"
874,Pankl,63.77,Austria,"Aerospace, Defence, Manufacture of Transport Equipment"
875,Ferrum,63.73,Switzerland,"Engineering, Manufacturing"
876,Computacenter,63.72,United Kingdom,"IT, Internet, Software and Services"
877,Galeries Lafayette,63.72,France,Retail
878,AS Watson Group,63.66,Netherlands,Retail
879,Merit Medical,63.64,Netherlands,Healthcare Equipment and Services
880,SEDA International Packaging Group,63.62,Italy,Packaged Goods
881,Brown Thomas,63.59,Ireland,Retail
882,Cogne Acciai Speciali,63.59,Italy,"Manufacture and processing of materials, metals and paper"
883,Emuge-Franken,63.59,France,"Manufacture and processing of materials, metals and paper"
884,Virtusa,63.56,United Kingdom,Business Services and Supplies
885,Levi Strauss & Co,63.5,Belgium,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
886,Kimberly-Clark,63.46,United Kingdom,Packaged Goods
887,Christof Group,63.42,Austria,Construction
888,Starbucks,63.4,United Kingdom,Restaurants
889,Saipem,63.39,Italy,"Engineering, Manufacturing"
890,Landi Renzo,63.39,Italy,Automotive (Producers and Suppliers)
891,Stada Arzneimittel,63.36,Germany,Drugs and Biotechnology
892,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit (GIZ),63.3,Germany,Healthcare (Social)
893,Ornua,63.3,Ireland,"Food, Soft Beverages, Alcohol and Tobacco"
894,Chevron,63.26,United Kingdom,"Oil and Gas Operations, Mining, and Chemicals"
895,TPA,63.25,Austria,Consulting and Accounting
896,SEW-Eurodrive,63.25,Germany,"Engineering, Manufacturing"
897,Oniverse,63.25,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
898,Fexco,63.23,Ireland,Banking and Financial Services
899,Conforama,63.22,France,Retail
900,Ducati,63.21,Italy,Automotive (Producers and Suppliers)
901,Solo midocean,63.21,Netherlands,Business Services and Supplies
902,Conex BÃ¤nninger,63.18,United Kingdom,"Manufacture and Processing of Materials, Metals and Paper"
903,Stryker,63.14,Netherlands,Healthcare Equipment and Services
904,PPG,63.12,Switzerland,"Oil and Gas Operations, Mining, and Chemicals"
905,Almaviva,63.09,Italy,"IT, Internet, Software and Services"
906,Pfeiffer Vacuum+Fab Solutions,63.07,Germany,"Engineering, Manufacturing"
907,Recaro,63.07,Germany,Automotive (Producers and Suppliers)
908,Nexity,63.03,France,Business Services and Supplies
909,Max Streicher,62.99,Germany,Construction
910,Valvitalia,62.98,Italy,"Manufacture and processing of materials, metals and paper"
911,Flowserve,62.97,Netherlands,"Engineering, Manufacturing"
912,BioNTech,62.9,Germany,Drugs and Biotechnology
913,Hutchinson,62.86,France,Automotive (Producers and Suppliers)
914,Zambon,62.81,Italy,Drugs and Biotechnology
915,Circet,62.8,France,"Telecommunications Services, Cable Supplier"
916,Internorm,62.79,Austria,"Manufacture and processing of materials, metals and paper"
917,Cerba HealthCare,62.78,France,Drugs and Biotechnology
918,Sonepar,62.76,France,Wholesale
919,DXC Technology,62.74,United Kingdom,"IT, Internet, Software and Services"
920,Anglo American,62.71,United Kingdom,"Oil and Gas Operations, Mining, and Chemicals"
921,Groupe Stago,62.68,France,"Semiconductors, Electronics, Electrical Engineering, Hardware"
922,Compass Group,62.67,United Kingdom,Business Services and Supplies
923,Schlemmer,62.65,Germany,"Engineering, Manufacturing"
924,Nordex,62.64,Germany,"Engineering, Manufacturing"
925,BorgWarner,62.64,Germany,Automotive (Producers and Suppliers)
926,Forvis Mazars,62.59,France,Consulting and Accounting
927,Lockheed Martin,62.58,Belgium,"Aerospace, Defence, Manufacture of Transport Equipment"
928,Expleo,62.58,France,"Engineering, Manufacturing"
929,Frauenthal,62.56,Austria,"Aerospace, Defence, Manufacture of Transport Equipment"
930,Mercury Engineering,62.56,Ireland,"Engineering, Manufacturing"
931,Homag,62.54,Germany,"Engineering, Manufacturing"
932,Werner & Mertz,62.51,Germany,"Oil and Gas Operations, Mining, and Chemicals"
933,Sysco,62.5,United Kingdom,"Food, Soft Beverages, Alcohol and Tobacco"
934,Dayco Europe,62.35,Italy,Automotive (Producers and Suppliers)
935,ARM,62.32,United Kingdom,"Semiconductors, Electronics, Electrical Engineering, Hardware"
936,Bloomberg,62.31,United Kingdom,Media and Advertising
937,Alfasigma,62.3,Italy,Drugs and Biotechnology
938,Yahoo,62.26,Ireland,"IT, Internet, Software and Services"
939,Ceva Logistics,62.26,France,Transportation and Logistics
940,Sagemcom,62.24,France,"Telecommunications Services, Cable Supplier"
941,Hammerer Aluminium Industries (HAI),62.23,Austria,"Manufacture and processing of materials, metals and paper"
942,Benetton Group,62.22,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
943,Christ Group,62.19,Germany,Retail
944,Open,62.18,France,"IT, Internet, Software and Services"
945,Saverglass,62.12,France,"Manufacture and processing of materials, metals and paper"
946,AFV Beltrame Group,62.12,Italy,"Manufacture and processing of materials, metals and paper"
947,Renolit,62.1,Germany,"Manufacture and processing of materials, metals and paper"
948,Andersen,62.09,Poland,"IT, Internet, Software and Services"
949,Brinkâ€™s,62.09,United Kingdom,Business Services and Supplies
950,Richard Wolf,62.09,Germany,Healthcare Equipment and Services
951,Sto,62.08,Germany,"Manufacture and Processing of Materials, Metals and Paper"
952,ASML,62.06,Netherlands,"Semiconductors, Electronics, Electrical Engineering, Hardware"
953,Aramex,62.05,United Kingdom,Transportation and Logistics
954,Blue Tomato,62.03,Austria,Retail
955,BTC,62.02,Germany,Consulting and Accounting
956,Mane,61.99,France,Packaged Goods
957,The Coca-Cola Company,61.98,Belgium,"Food, Soft Beverages, Alcohol and Tobacco"
958,Dekra,61.98,Germany,Business Services and Supplies
959,Arcese,61.93,Italy,Transportation and Logistics
960,Delta Dore,61.89,France,Utilities
961,GRIMME,61.85,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
962,McKinsey & Company,61.81,United Kingdom,Consulting and Accounting
963,MSC Cruises,61.78,Switzerland,Travel and Leisure
964,Stabilus,61.77,Germany,Automotive (Producers and Suppliers)
965,Lindner Group,61.75,Germany,Construction
966,Hubert Burda Media,61.71,Germany,Media and Advertising
967,Citigroup,61.67,United Kingdom,Banking and Financial Services
968,Adient,61.67,Ireland,Automotive (Producers and Suppliers)
969,Whitbread,61.64,United Kingdom,Travel and Leisure
970,Exelite,61.64,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
971,Omexom,61.64,France,Utilities
972,Arburg,61.64,Germany,"Engineering, Manufacturing"
973,Anton Paar,61.63,Austria,"Semiconductors, Electronics, Electrical Engineering, Hardware"
974,GE Vernova,61.63,Germany,"Engineering, Manufacturing"
975,Mayer & Co BeschlÃ¤ge (Maco),61.62,Austria,"Manufacture and processing of materials, metals and paper"
976,Emerson,61.61,Sweden,"Semiconductors, Electronics, Electrical Engineering, Hardware"
977,Trimet,61.6,Germany,"Manufacture and processing of materials, metals and paper"
978,Bachmann electronic,61.59,Austria,"Semiconductors, Electronics, Electrical Engineering, Hardware"
979,Ziegler,61.58,Belgium,Transportation and Logistics
980,Maschio Gaspardo,61.56,Italy,"Engineering, Manufacturing"
981,Arkopharma,61.54,France,Drugs and Biotechnology
982,Nature & DÃ©couvertes,61.53,France,Retail
983,ServiceNow,61.5,Germany,"IT, Internet, Software and Services"
984,Sopra Steria Group,61.47,France,"IT, Internet, Software and Services"
985,Bizerba,61.47,Germany,Packaged Goods
986,Erbud Group,61.47,Poland,Construction
987,Falck,61.44,Denmark,Healthcare Equipment and Services
988,Groupe GMD,61.39,France,Automotive (Producers and Suppliers)
989,LISI Aerospace,61.39,France,"Aerospace, Defence, Manufacture of Transport Equipment"
990,Tchibo/ Eduscho,61.37,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
991,Essity,61.35,Sweden,Packaged Goods
992,International Personal Finance,61.34,United Kingdom,Banking and Financial Services
993,Century 21,61.32,France,Business Services and Supplies
994,Aebi Schmidt,61.31,Switzerland,Automotive (Producers and Suppliers)
995,PCC Group,61.24,Germany,"Oil and Gas Operations, Mining, and Chemicals"
996,Still,61.19,Germany,"Engineering, Manufacturing"
997,Norsk Hydro,61.15,Norway,"Manufacture and Processing of Materials, Metals and Paper"
998,Subsea 7,61.13,United Kingdom,Construction
999,Ethypharm,61.13,France,Drugs and Biotechnology
1000,Groupe Etam,61.13,France,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
