Rank,Name,Final score,Country,Industry
326,Aalberts Surface Technologies,77.39,Germany,"Oil and Gas Operations, Mining, and Chemicals"
327,Endress+Hauser,77.31,Switzerland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
328,Bilfinger,77.3,Germany,"Engineering, Manufacturing"
329,Royal London,77.3,United Kingdom,Insurance
330,KPMG,77.23,Netherlands,Consulting and Accounting
331,Vodafone,77.21,United Kingdom,"Telecommunications Services, Cable Supplier"
332,Home Instead,77.19,United Kingdom,Healthcare (Social)
333,Salesforce,77.18,Ireland,"IT, Internet, Software and Services"
334,Bonduelle,77.11,France,"Food, Soft Beverages, Alcohol and Tobacco"
335,Rabobank,77.11,Netherlands,Banking and Financial Services
336,INTERSPORT,77.06,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
337,American Express Company (AmEx),77.05,United Kingdom,Banking and Financial Services
338,Honda,77.04,United Kingdom,Automotive (Producers and Suppliers)
339,Daimler Truck,76.99,Germany,Automotive (Producers and Suppliers)
340,WÃ¼stenrot & WÃ¼rttembergische,76.96,Germany,Insurance
341,Xerox,76.92,United Kingdom,Packaged Goods
342,Nokia,76.88,Finland,"Telecommunications Services, Cable Supplier"
343,Pietro Fiorentini,76.88,Italy,"Engineering, Manufacturing"
344,Hansa-Flex,76.81,Germany,"Manufacture and processing of materials, metals and paper"
345,Avanade,76.73,United Kingdom,"IT, Internet, Software and Services"
346,BearingPoint,76.69,Netherlands,Consulting and Accounting
347,Electrolux,76.69,Sweden,"Semiconductors, Electronics, Electrical Engineering, Hardware"
348,Verisure,76.69,Switzerland,"IT, Internet, Software and Services"
349,Pfizer,76.63,Belgium,Drugs and Biotechnology
350,Schaeffler-Gruppe,76.54,Germany,Automotive (Producers and Suppliers)
351,Heinz,76.52,Netherlands,"Food, Soft Beverages, Alcohol and Tobacco"
352,JP Morgan,76.51,United Kingdom,Banking and Financial Services
353,Dassault Group,76.47,France,"Aerospace, Defence, Manufacture of Transport Equipment"
354,Medtronic,76.43,Ireland,Healthcare Equipment and Services
